Depth,Temperature,Salinity
185.93879075579372,-1.5447586589762723,33.06217563133995
186.18879075579372,-1.5443111745352192,33.06393846049753
186.43879075579372,-1.544073604134851,33.06667713790901
186.68879075579372,-1.5439186975519958,33.068502550118275
186.93879075579372,-1.5437154910287691,33.07003527467939
187.18879075579372,-1.5433717371593731,33.07288647713483
187.43879075579372,-1.5429764521759908,33.0757276028391
187.68879075579372,-1.5428859759815903,33.07821759793431
187.93879075579372,-1.5424405608598792,33.08008649202794
188.18879075579372,-1.541846413196233,33.082226470747344
188.43879075579372,-1.5417396304281876,33.085327495051246
188.68879075579372,-1.5412823379323428,33.08808090574945
188.93879075579372,-1.5406968623732122,33.09136558357018
189.18879075579372,-1.5401671857072297,33.09375478434209
189.43879075579372,-1.5395851894081505,33.09603131096729
189.68879075579372,-1.5389357899622211,33.0995569626824
189.93879075579372,-1.5385125745812223,33.10139342960659
190.18879075579372,-1.5381265403495412,33.10510215182764
190.43879075579372,-1.538065490953173,33.10892722252718
190.68879075579372,-1.538380024010849,33.11199122100183
190.93879075579372,-1.5385886362902859,33.11622931344674
191.18879075579372,-1.5385934978661784,33.11826696584333
191.43879075579372,-1.5384408058873953,33.12154465079258
191.68879075579372,-1.5384830611063964,33.12489760330664
191.93879075579372,-1.5385803876444872,33.12708204060409
192.18879075579372,-1.5382739348995091,33.130154811603674
192.43879075579372,-1.5380100875875244,33.1333281682118
192.68879075579372,-1.5377434008695596,33.136421861278535
192.93879075579372,-1.5373308570919098,33.140278275135884
193.18879075579372,-1.5368821170011493,33.14446973834739
193.43879075579372,-1.536524074014004,33.1470190934408
193.68879075579372,-1.5357350459719263,33.149598964678816
193.93879075579372,-1.5350463211113459,33.153440778542524
194.18879075579372,-1.5348094241523118,33.158084369372766
194.43879075579372,-1.534645975638526,33.16196264531616
194.68879075579372,-1.534426898153558,33.164631283018394
194.93879075579372,-1.5344863108046276,33.16899667739197
195.18879075579372,-1.5325686003612635,33.17274060644853
195.43879075579372,-1.5300920805381422,33.176179958133915
195.68879075579372,-1.5283553073491432,33.17954949488277
195.93879075579372,-1.525885653922836,33.18213361577108
196.18879075579372,-1.5242217427174631,33.18851236048317
196.43879075579372,-1.5228915866285557,33.19368840405939
196.68879075579372,-1.521552562901666,33.19810798376495
196.93879075579372,-1.520117956530131,33.20220858931468
197.18879075579372,-1.518808088275206,33.20515053277922
197.43879075579372,-1.5181814310240445,33.20866729738206
197.68879075579372,-1.517758640115681,33.211470535329205
197.93879075579372,-1.5170564200972778,33.214979656548515
198.18879075579372,-1.5161382241299934,33.21873183425585
198.43879075579372,-1.5152340997190497,33.2215609919961
198.68879075579372,-1.5143427164238525,33.22488694368359
198.93879075579372,-1.5136328858712973,33.22825931875742
199.18879075579372,-1.5123888831615062,33.23129024797349
199.43879075579372,-1.5109132943558452,33.23441007566676
199.68879075579372,-1.5097519252135705,33.2384460767539
199.93879075579372,-1.5081634059804607,33.24337443537585
200.18879075579372,-1.5072067568075231,33.24720653649304
200.43879075579372,-1.5063181102565264,33.250561907188946
200.68879075579372,-1.5051235231719367,33.25391575534781
200.93879075579372,-1.5041270080833935,33.256910392085274
201.18879075579372,-1.503013259603121,33.26066921608662
201.43879075579372,-1.5018294619283183,33.2640957690905
201.68879075579372,-1.500565070382647,33.267439711405444
201.93879075579372,-1.4993483874540325,33.27067491667215
202.18879075579372,-1.4983733909405947,33.27292245022019
202.43879075579372,-1.4969580624587477,33.27764975641755
202.68879075579372,-1.4958594303675687,33.282683402117414
202.93879075579372,-1.4956829400471217,33.286444534367284
203.18879075579372,-1.4953041374489382,33.29017862124865
203.43879075579372,-1.4927728786230625,33.29343540999748
203.68879075579372,-1.4898241773008942,33.29753442255773
203.93879075579372,-1.4875112518917615,33.30169165130757
204.18879075579372,-1.4856017070229603,33.304996032853396
204.43879075579372,-1.4837560270635655,33.30834148546548
204.68879075579372,-1.48191303831356,33.31218230031614
204.93879075579372,-1.4809205666371807,33.31655050751848
205.18879075579372,-1.4802689261299937,33.32012518140155
205.43879075579372,-1.4792017204699865,33.322956740090056
205.68879075579372,-1.4779076297099905,33.3267748738317
205.93879075579372,-1.4762665465854865,33.33039144292869
206.18879075579372,-1.4751329093523333,33.334016722077486
206.43879075579372,-1.4743459794413039,33.33797051832727
206.68879075579372,-1.4728371321638016,33.342413528796996
206.93879075579372,-1.4705554111140036,33.347276292561425
207.18879075579372,-1.4693878937598595,33.35090200215828
207.43879075579372,-1.4683271718759703,33.35428149567056
207.68879075579372,-1.4662152533551096,33.35866085081291
207.93879075579372,-1.4638953681800873,33.36344318069034
208.18879075579372,-1.462767022651848,33.36724288982563
208.43879075579372,-1.4614144669634874,33.37108154576386
208.68879075579372,-1.4601565960011371,33.375129090372894
208.93879075579372,-1.4587196342514688,33.379436157865435
209.18879075579372,-1.4566669265184224,33.38441372596157
209.43879075579372,-1.4548941416624397,33.38955600254319
209.68879075579372,-1.4534108264795484,33.392948782182515
209.93879075579372,-1.4503053251759066,33.39723833226044
210.18879075579372,-1.4468001521224403,33.40269707714018
210.43879075579372,-1.4446267608128742,33.40775464575659
210.68879075579372,-1.4428502802399261,33.412512434024606
210.93879075579372,-1.4400474838097126,33.418037643899694
211.18879075579372,-1.438115654298413,33.421920502475906
211.43879075579372,-1.436264097967719,33.425401670702
211.68879075579372,-1.4330999776887317,33.43022937115976
211.93879075579372,-1.4293055483054935,33.436205083160544
212.18879075579372,-1.4265649935076106,33.4421932461581
212.43879075579372,-1.424087125934142,33.44666274605163
